line,prev_node,next_node,prev_sku,next_sku,edge_type
14,VICTORIA|1/3|P6|KR81115,VICTORIA|1/3|P6|KR81115,VICTORIA|1/3|P6|KR81115,VICTORIA|1/3|P6|KR81115,C0_self
14,VOLL DAMM|1/3|P6|KR00528,ESTRELLA DAMM|1/3|UNI|KR00443,VOLL DAMM|1/3|P6|KR00528,ESTRELLA DAMM|1/3|UNI|KR00443,C_brand
14,VOLL DAMM|1/3|P6|KR00528,VOLL DAMM|1/3|P6|KR00528,VOLL DAMM|1/3|P6|KR00528,VOLL DAMM|1/3|P6|KR00528,C0_self
14,VOLL DAMM|1/3|UNI|KR00528,ESTRELLA DAMM|1/3|UNI|KR00444,VOLL DAMM|1/3|UNI|KR00528,ESTRELLA DAMM|1/3|UNI|KR00444,C_brand
17,DAMM LEMON|1/3|UNI|KR00928,VOLL DAMM|1/3|UNI|KR00528,DAMM LEMON|1/3|UNI|KR00928,VOLL DAMM|1/3|UNI|KR00528,C_brand
17,ESTRELLA DAMM|1/3|P12|KR00441,ESTRELLA DAMM|1/3|P12|KR00441,ESTRELLA DAMM|1/3|P12|KR00441,ESTRELLA DAMM|1/3|P12|KR00441,C0_self
17,ESTRELLA DAMM|1/3|P12|KR00441,ESTRELLA DAMM|1/3|UNI|KR00441,ESTRELLA DAMM|1/3|P12|KR00441,ESTRELLA DAMM|1/3|UNI|KR00441,C_pack
17,ESTRELLA DAMM|1/3|P12|KR00443,ESTRELLA DAMM|1/3|P12|KR00443,ESTRELLA DAMM|1/3|P12|KR00443,ESTRELLA DAMM|1/3|P12|KR00443,C0_self
17,ESTRELLA DAMM|1/3|P12|KR00443,ESTRELLA DAMM|1/3|UNI|KR00443,ESTRELLA DAMM|1/3|P12|KR00443,ESTRELLA DAMM|1/3|UNI|KR00443,C_pack
17,ESTRELLA DAMM|1/3|P24|KR00441,ESTRELLA DAMM|1/3|P24|KR00441,ESTRELLA DAMM|1/3|P24|KR00441,ESTRELLA DAMM|1/3|P24|KR00441,C0_self
17,ESTRELLA DAMM|1/3|P24|KR00441,ESTRELLA DAMM|1/3|UNI|KR00441,ESTRELLA DAMM|1/3|P24|KR00441,ESTRELLA DAMM|1/3|UNI|KR00441,C_pack
17,ESTRELLA DAMM|1/3|P24|KR00443,ESTRELLA DAMM|1/3|P12|KR00443,ESTRELLA DAMM|1/3|P24|KR00443,ESTRELLA DAMM|1/3|P12|KR00443,C_pack
17,ESTRELLA DAMM|1/3|P24|KR00443,ESTRELLA DAMM|1/3|P24|KR00443,ESTRELLA DAMM|1/3|P24|KR00443,ESTRELLA DAMM|1/3|P24|KR00443,C0_self
17,ESTRELLA DAMM|1/3|P24|KR00443,ESTRELLA DAMM|1/3|UNI|KR00443,ESTRELLA DAMM|1/3|P24|KR00443,ESTRELLA DAMM|1/3|UNI|KR00443,C_pack
17,ESTRELLA DAMM|1/3|P24|KR00443,ESTRELLA DAMM|1/3|UNI|KR00444,ESTRELLA DAMM|1/3|P24|KR00443,ESTRELLA DAMM|1/3|UNI|KR00444,C_pack
17,ESTRELLA DAMM|1/3|UNI|KR00440,ESTRELLA DAMM|1/3|UNI|KR00441,ESTRELLA DAMM|1/3|UNI|KR00440,ESTRELLA DAMM|1/3|UNI|KR00441,C_envase
17,ESTRELLA DAMM|1/3|UNI|KR00441,ESTRELLA DAMM|1/3|P12|KR00441,ESTRELLA DAMM|1/3|UNI|KR00441,ESTRELLA DAMM|1/3|P12|KR00441,C_pack
17,ESTRELLA DAMM|1/3|UNI|KR00441,ESTRELLA DAMM|1/3|P24|KR00441,ESTRELLA DAMM|1/3|UNI|KR00441,ESTRELLA DAMM|1/3|P24|KR00441,C_pack
17,ESTRELLA DAMM|1/3|UNI|KR00441,VOLL DAMM|1/3|UNI|KR00525,ESTRELLA DAMM|1/3|UNI|KR00441,VOLL DAMM|1/3|UNI|KR00525,C_brand
17,ESTRELLA DAMM|1/3|UNI|KR00443,ESTRELLA DAMM|1/3|P24|KR00443,ESTRELLA DAMM|1/3|UNI|KR00443,ESTRELLA DAMM|1/3|P24|KR00443,C_pack
17,ESTRELLA DAMM|1/3|UNI|KR00443,ESTRELLA DAMM|1/3|UNI|KR00443,ESTRELLA DAMM|1/3|UNI|KR00443,ESTRELLA DAMM|1/3|UNI|KR00443,C0_self
17,ESTRELLA DAMM|1/3|UNI|KR00443,ESTRELLA DAMM|1/3|UNI|KR00444,ESTRELLA DAMM|1/3|UNI|KR00443,ESTRELLA DAMM|1/3|UNI|KR00444,C_envase
17,ESTRELLA DAMM|1/3|UNI|KR00443,TURIA MARZEN|1/3|UNI|KR00607,ESTRELLA DAMM|1/3|UNI|KR00443,TURIA MARZEN|1/3|UNI|KR00607,C_brand
17,ESTRELLA DAMM|1/3|UNI|KR00444,ESTRELLA DAMM|1/3|UNI|KR00443,ESTRELLA DAMM|1/3|UNI|KR00444,ESTRELLA DAMM|1/3|UNI|KR00443,C_envase
17,ESTRELLA DAMM|1/3|UNI|KR00444,FREE DAMM|1/3|UNI|KR00038,ESTRELLA DAMM|1/3|UNI|KR00444,FREE DAMM|1/3|UNI|KR00038,C_brand
17,FREE DAMM TOSTADA|1/3|UNI|KR04806,KELER|1/3|UNI|KR80025,FREE DAMM TOSTADA|1/3|UNI|KR04806,KELER|1/3|UNI|KR80025,C_brand
17,FREE DAMM|1/3|UNI|KR00038,FREE DAMM TOSTADA|1/3|UNI|KR04806,FREE DAMM|1/3|UNI|KR00038,FREE DAMM TOSTADA|1/3|UNI|KR04806,C_brand
17,KELER|1/3|UNI|KR80025,TURIA MARZEN|1/3|UNI|KR00607,KELER|1/3|UNI|KR80025,TURIA MARZEN|1/3|UNI|KR00607,C_brand
17,VOLL DAMM|1/3|P12|KR00528,VOLL DAMM|1/3|UNI|KR00528,VOLL DAMM|1/3|P12|KR00528,VOLL DAMM|1/3|UNI|KR00528,C_pack
17,VOLL DAMM|1/3|PACK|KR00525,VOLL DAMM|1/3|UNI|KR00525,VOLL DAMM|1/3|PACK|KR00525,VOLL DAMM|1/3|UNI|KR00525,C_pack
17,VOLL DAMM|1/3|PACK|KR00528,VOLL DAMM|1/3|UNI|KR00528,VOLL DAMM|1/3|PACK|KR00528,VOLL DAMM|1/3|UNI|KR00528,C_pack
17,VOLL DAMM|1/3|UNI|KR00525,ESTRELLA DAMM|1/3|UNI|KR00441,VOLL DAMM|1/3|UNI|KR00525,ESTRELLA DAMM|1/3|UNI|KR00441,C_brand
17,VOLL DAMM|1/3|UNI|KR00525,TURIA MARZEN|1/3|UNI|KR00607,VOLL DAMM|1/3|UNI|KR00525,TURIA MARZEN|1/3|UNI|KR00607,C_brand
17,VOLL DAMM|1/3|UNI|KR00528,VOLL DAMM|1/3|PACK|KR00528,VOLL DAMM|1/3|UNI|KR00528,VOLL DAMM|1/3|PACK|KR00528,C_pack
17,VOLL DAMM|1/3|UNI|KR00528,VOLL DAMM|1/3|UNI|KR00528,VOLL DAMM|1/3|UNI|KR00528,VOLL DAMM|1/3|UNI|KR00528,C0_self
17,VOLL DAMM|1/3|UNI|KR00528,XIBECA|1/3|UNI|KR00719,VOLL DAMM|1/3|UNI|KR00528,XIBECA|1/3|UNI|KR00719,C_brand
19,EMD BRAU|1/3|P12|KR6BNEB9,ESTRELLA DAMM|1/3|P12|KR00443,EMD BRAU|1/3|P12|KR6BNEB9,ESTRELLA DAMM|1/3|P12|KR00443,C_brand
19,ESTRELLA DAMM|1/2|UNI|KR02042,ESTRELLA DAMM|1/2|UNI|KR02045,ESTRELLA DAMM|1/2|UNI|KR02042,ESTRELLA DAMM|1/2|UNI|KR02045,C_envase
19,ESTRELLA DAMM|1/2|UNI|KR02045,ESTRELLA LEVANTE|1/2|UNI|KR05503,ESTRELLA DAMM|1/2|UNI|KR02045,ESTRELLA LEVANTE|1/2|UNI|KR05503,C_brand
19,ESTRELLA DAMM|1/2|UNI|KR03113,ESTRELLA DAMM|1/2|UNI|KR02047,ESTRELLA DAMM|1/2|UNI|KR03113,ESTRELLA DAMM|1/2|UNI|KR02047,C_envase
19,ESTRELLA DAMM|1/3|P12|KR00441,ESTRELLA DAMM|1/3|P12|KR00441,ESTRELLA DAMM|1/3|P12|KR00441,ESTRELLA DAMM|1/3|P12|KR00441,C0_self
19,ESTRELLA DAMM|1/3|P12|KR00441,ESTRELLA DAMM|1/3|UNI|KR00441,ESTRELLA DAMM|1/3|P12|KR00441,ESTRELLA DAMM|1/3|UNI|KR00441,C_pack
19,ESTRELLA DAMM|1/3|P12|KR00441,VOLL DAMM|1/3|P12|KR00525,ESTRELLA DAMM|1/3|P12|KR00441,VOLL DAMM|1/3|P12|KR00525,C_brand
19,ESTRELLA DAMM|1/3|P12|KR00443,EMD BRAU|1/3|P12|KR6BNEB9,ESTRELLA DAMM|1/3|P12|KR00443,EMD BRAU|1/3|P12|KR6BNEB9,C_brand
19,ESTRELLA DAMM|1/3|P12|KR00443,ESTRELLA DAMM|1/3|P12|KR00443,ESTRELLA DAMM|1/3|P12|KR00443,ESTRELLA DAMM|1/3|P12|KR00443,C0_self
19,ESTRELLA DAMM|1/3|P12|KR00443,ESTRELLA DAMM|1/3|UNI|KR00443,ESTRELLA DAMM|1/3|P12|KR00443,ESTRELLA DAMM|1/3|UNI|KR00443,C_pack
19,ESTRELLA DAMM|1/3|P12|KR00443,FREE DAMM|1/3|PACK|KR00038,ESTRELLA DAMM|1/3|P12|KR00443,FREE DAMM|1/3|PACK|KR00038,C_brand
19,ESTRELLA DAMM|1/3|P12|KR00443,TURIA MARZEN|1/3|PACK|KR00607,ESTRELLA DAMM|1/3|P12|KR00443,TURIA MARZEN|1/3|PACK|KR00607,C_brand
19,ESTRELLA DAMM|1/3|P12|KR00443,VOLL DAMM|1/3|P12|KR00528,ESTRELLA DAMM|1/3|P12|KR00443,VOLL DAMM|1/3|P12|KR00528,C_brand
19,ESTRELLA DAMM|1/3|UNI|KR00441,ESTRELLA DAMM|1/3|P12|KR00441,ESTRELLA DAMM|1/3|UNI|KR00441,ESTRELLA DAMM|1/3|P12|KR00441,C_pack
19,ESTRELLA DAMM|1/3|UNI|KR02333,ESTRELLA DAMM|1/3|P24|KR02332,ESTRELLA DAMM|1/3|UNI|KR02333,ESTRELLA DAMM|1/3|P24|KR02332,C_pack
19,ESTRELLA DAMM|1/3|UNI|KR02337,ESTRELLA DAMM|1/3|P24|KR02337,ESTRELLA DAMM|1/3|UNI|KR02337,ESTRELLA DAMM|1/3|P24|KR02337,C_pack
19,ESTRELLA DAMM|2/5|UNI|KR06103,ESTRELLA DAMM|2/5|UNI|KR06103,ESTRELLA DAMM|2/5|UNI|KR06103,ESTRELLA DAMM|2/5|UNI|KR06103,C0_self
19,ESTRELLA LEVANTE|1/2|UNI|KR05503,VICTORIA|1/2|UNI|KR82805,ESTRELLA LEVANTE|1/2|UNI|KR05503,VICTORIA|1/2|UNI|KR82805,C_brand
19,FREE DAMM|1/3|PACK|KR00038,KELER|1/3|P12|KR80025,FREE DAMM|1/3|PACK|KR00038,KELER|1/3|P12|KR80025,C_brand
19,GRANDE|2/5|UNI|KR6BNG31,SABOR|2/5|UNI|KR6BNNN2,GRANDE|2/5|UNI|KR6BNG31,SABOR|2/5|UNI|KR6BNNN2,C_brand
19,GRANDE|2/5|UNI|KR6BNG31,SAN MARCOS|2/5|UNI|KR6BNS90,GRANDE|2/5|UNI|KR6BNG31,SAN MARCOS|2/5|UNI|KR6BNS90,C_brand
19,KELER|1/3|P12|KR80025,VOLL DAMM|1/3|P12|KR00528,KELER|1/3|P12|KR80025,VOLL DAMM|1/3|P12|KR00528,C_brand
19,SAN MARCOS|2/5|UNI|KR6BNS90,ESTRELLA NON-ALCOHOLIC|2/5|P24|KR04200,SAN MARCOS|2/5|UNI|KR6BNS90,ESTRELLA NON-ALCOHOLIC|2/5|P24|KR04200,C_brand
19,TURIA MARZEN|1/3|PACK|KR00607,ESTRELLA DAMM|1/3|P12|KR00443,TURIA MARZEN|1/3|PACK|KR00607,ESTRELLA DAMM|1/3|P12|KR00443,C_brand
19,TURIA MARZEN|1/3|PACK|KR00607,KELER|1/3|P12|KR80025,TURIA MARZEN|1/3|PACK|KR00607,KELER|1/3|P12|KR80025,C_brand
19,TURIA MARZEN|1/3|PACK|KR00607,VOLL DAMM|1/3|P12|KR00528,TURIA MARZEN|1/3|PACK|KR00607,VOLL DAMM|1/3|P12|KR00528,C_brand
19,VICTORIA|1/2|UNI|KR82806,ESTRELLA LEVANTE|1/2|UNI|KR05503,VICTORIA|1/2|UNI|KR82806,ESTRELLA LEVANTE|1/2|UNI|KR05503,C_brand
19,VOLL DAMM|1/3|P12|KR00525,ESTRELLA DAMM|1/3|P12|KR00441,VOLL DAMM|1/3|P12|KR00525,ESTRELLA DAMM|1/3|P12|KR00441,C_brand
19,VOLL DAMM|1/3|P12|KR00525,VOLL DAMM|1/3|P12|KR00525,VOLL DAMM|1/3|P12|KR00525,VOLL DAMM|1/3|P12|KR00525,C0_self
19,VOLL DAMM|1/3|P12|KR00528,ESTRELLA DAMM|1/3|P12|KR00443,VOLL DAMM|1/3|P12|KR00528,ESTRELLA DAMM|1/3|P12|KR00443,C_brand
19,VOLL DAMM|1/3|P12|KR00528,VOLL DAMM|1/3|P12|KR00528,VOLL DAMM|1/3|P12|KR00528,VOLL DAMM|1/3|P12|KR00528,C0_self
19,XIBECA|1/3|P12|KR00719,XIBECA|1/3|P12|KR00719,XIBECA|1/3|P12|KR00719,XIBECA|1/3|P12|KR00719,C0_self
