week,line,node,sku,degree
4,17,DAURA|1/3|UNI|KR02207,DAURA|1/3|UNI|KR02207,2.0
4,17,ESTRELLA DAMM|1/3|P24|KR00441,ESTRELLA DAMM|1/3|P24|KR00441,6.0
4,17,ESTRELLA DAMM|1/3|UNI|KR00441,ESTRELLA DAMM|1/3|UNI|KR00441,12.0
4,17,ESTRELLA LEVANTE|1/3|P24|KR00339,ESTRELLA LEVANTE|1/3|P24|KR00339,2.0
4,17,ESTRELLA LEVANTE|1/3|UNI|KR00339,ESTRELLA LEVANTE|1/3|UNI|KR00339,2.0
4,17,FREE DAMM LIMON|1/3|UNI|KR01818,FREE DAMM LIMON|1/3|UNI|KR01818,3.0
4,17,FREE DAMM TOSTADA|1/3|UNI|KR04806,FREE DAMM TOSTADA|1/3|UNI|KR04806,6.0
4,17,FREE DAMM|1/3|UNI|KR00036,FREE DAMM|1/3|UNI|KR00036,4.0
4,17,KELER|1/3|P12|KR80024,KELER|1/3|P12|KR80024,2.0
4,17,KELER|1/3|UNI|KR80024,KELER|1/3|UNI|KR80024,4.0
4,17,SKOL|1/3|UNI|KR80115,SKOL|1/3|UNI|KR80115,2.0
4,17,TURIA MARZEN 0'0 TOSTADA|1/3|UNI|KR07200,TURIA MARZEN 0'0 TOSTADA|1/3|UNI|KR07200,2.0
4,17,TURIA MARZEN|1/3|PACK|KR00607,TURIA MARZEN|1/3|PACK|KR00607,2.0
4,17,TURIA MARZEN|1/3|UNI|KR00607,TURIA MARZEN|1/3|UNI|KR00607,6.0
4,17,"VICTORIA 0,0 TOSTADA|1/3|UNI|KR83601","VICTORIA 0,0 TOSTADA|1/3|UNI|KR83601",2.0
4,17,VICTORIA|1/3|RETR|KR81115,VICTORIA|1/3|RETR|KR81115,2.0
4,17,VICTORIA|1/3|UNI|KR81115,VICTORIA|1/3|UNI|KR81115,5.0
4,17,VOLL DAMM|1/3|PACK|KR00525,VOLL DAMM|1/3|PACK|KR00525,2.0
4,17,VOLL DAMM|1/3|UNI|KR00525,VOLL DAMM|1/3|UNI|KR00525,12.0
4,17,XIBECA|1/3|PACK|KR00716,XIBECA|1/3|PACK|KR00716,2.0
4,17,XIBECA|1/3|UNI|KR00716,XIBECA|1/3|UNI|KR00716,4.0
4,19,CARLSBERG|1/2|UNI|KR05701,CARLSBERG|1/2|UNI|KR05701,2.0
4,19,CARLSBERG|1/3|P12|KR04503,CARLSBERG|1/3|P12|KR04503,2.0
4,19,DAMM LEMON|1/3|UNI|KR00924,DAMM LEMON|1/3|UNI|KR00924,2.0
4,19,ESTRELLA DAMM|1/2|UNI|KR00127,ESTRELLA DAMM|1/2|UNI|KR00127,4.0
4,19,ESTRELLA DAMM|1/2|UNI|KR02041,ESTRELLA DAMM|1/2|UNI|KR02041,4.0
4,19,ESTRELLA DAMM|1/2|UNI|KR02042,ESTRELLA DAMM|1/2|UNI|KR02042,2.0
4,19,ESTRELLA DAMM|1/2|UNI|KR03112,ESTRELLA DAMM|1/2|UNI|KR03112,2.0
4,19,ESTRELLA DAMM|1/3|P12|KR00441,ESTRELLA DAMM|1/3|P12|KR00441,11.0
4,19,ESTRELLA DAMM|1/3|P24|KR00441,ESTRELLA DAMM|1/3|P24|KR00441,6.0
4,19,ESTRELLA DAMM|1/3|P24|KR02332,ESTRELLA DAMM|1/3|P24|KR02332,6.0
4,19,ESTRELLA DAMM|1/3|P24|KR02333,ESTRELLA DAMM|1/3|P24|KR02333,2.0
4,19,ESTRELLA DAMM|1/3|UNI|KR00441,ESTRELLA DAMM|1/3|UNI|KR00441,4.0
4,19,ESTRELLA DAMM|1/3|UNI|KR02333,ESTRELLA DAMM|1/3|UNI|KR02333,4.0
4,19,ESTRELLA DAMM|2/5|UNI|KR06102,ESTRELLA DAMM|2/5|UNI|KR06102,4.0
4,19,ESTRELLA LEVANTE|1/2|UNI|KR05503,ESTRELLA LEVANTE|1/2|UNI|KR05503,2.0
4,19,ESTRELLA NON-ALCOHOLIC|1/3|UNI|KR01621,ESTRELLA NON-ALCOHOLIC|1/3|UNI|KR01621,2.0
4,19,FREE DAMM TOSTADA|1/3|PACK|KR04806,FREE DAMM TOSTADA|1/3|PACK|KR04806,2.0
4,19,FREE DAMM|1/3|PACK|KR00036,FREE DAMM|1/3|PACK|KR00036,6.0
4,19,INEDIT|1/2|UNI|KR03307,INEDIT|1/2|UNI|KR03307,2.0
4,19,KELER|1/3|P12|KR80024,KELER|1/3|P12|KR80024,2.0
4,19,LA FRÍA|1/3|P24|KR6BNZF0,LA FRÍA|1/3|P24|KR6BNZF0,2.0
4,19,ROSA BLANCA|2/5|UNI|KR06301,ROSA BLANCA|2/5|UNI|KR06301,2.0
4,19,SKOL|1/3|UNI|KR80115,SKOL|1/3|UNI|KR80115,3.0
4,19,TURIA MARZEN|1/3|PACK|KR00607,TURIA MARZEN|1/3|PACK|KR00607,2.0
4,19,VICTORIA|1/2|UNI|KR82805,VICTORIA|1/2|UNI|KR82805,4.0
4,19,VICTORIA|1/3|P12|KR81115,VICTORIA|1/3|P12|KR81115,2.0
4,19,VOLL DAMM|1/2|UNI|KR02702,VOLL DAMM|1/2|UNI|KR02702,2.0
4,19,VOLL DAMM|1/3|P12|KR00525,VOLL DAMM|1/3|P12|KR00525,12.0
4,19,XIBECA|1/2|UNI|KR00203,XIBECA|1/2|UNI|KR00203,4.0
4,19,XIBECA|1/3|P12|KR00716,XIBECA|1/3|P12|KR00716,4.0
4,19,XIBECA|1/3|UNI|KR00716,XIBECA|1/3|UNI|KR00716,2.0
5,14,"DAURA 0,0|1/3|PACK|KR06400","DAURA 0,0|1/3|PACK|KR06400",2.0
5,14,EMD BRAU|1/3|P12|KR6BNEB9,EMD BRAU|1/3|P12|KR6BNEB9,1.0
5,14,ESTRELLA DAMM|1/2|UNI|KR00127,ESTRELLA DAMM|1/2|UNI|KR00127,2.0
5,14,ESTRELLA DAMM|1/3|P6|KR02321,ESTRELLA DAMM|1/3|P6|KR02321,2.0
5,14,ESTRELLA DAMM|1/3|UNI|KR00440,ESTRELLA DAMM|1/3|UNI|KR00440,14.0
5,14,ESTRELLA DAMM|1/3|UNI|KR00441,ESTRELLA DAMM|1/3|UNI|KR00441,16.0
5,14,FREE DAMM LIMON|1/3|UNI|KR01818,FREE DAMM LIMON|1/3|UNI|KR01818,2.0
5,14,SKOL|1/3|RETR|KR80115,SKOL|1/3|RETR|KR80115,2.0
5,14,VICTORIA|1/3|P6|KR81115,VICTORIA|1/3|P6|KR81115,17.0
5,14,VOLL DAMM|1/3|P6|KR00525,VOLL DAMM|1/3|P6|KR00525,8.0
5,14,VOLL DAMM|1/3|UNI|KR00525,VOLL DAMM|1/3|UNI|KR00525,6.0
5,14,XIBECA|1/3|UNI|KR00716,XIBECA|1/3|UNI|KR00716,2.0
5,17,CARLSBERG|1/3|UNI|KR04503,CARLSBERG|1/3|UNI|KR04503,2.0
5,17,COMPLOT|1/3|UNI|KR05002,COMPLOT|1/3|UNI|KR05002,4.0
5,17,DAMM LEMON|1/3|UNI|KR00924,DAMM LEMON|1/3|UNI|KR00924,4.0
5,17,DAURA|1/3|UNI|KR02207,DAURA|1/3|UNI|KR02207,4.0
5,17,ESTRELLA DAMM|1/3|P24|KR00441,ESTRELLA DAMM|1/3|P24|KR00441,8.0
5,17,ESTRELLA DAMM|1/3|UNI|KR00440,ESTRELLA DAMM|1/3|UNI|KR00440,3.0
5,17,ESTRELLA DAMM|1/3|UNI|KR00441,ESTRELLA DAMM|1/3|UNI|KR00441,16.0
5,17,ESTRELLA LEVANTE|1/3|P24|KR00339,ESTRELLA LEVANTE|1/3|P24|KR00339,2.0
5,17,ESTRELLA LEVANTE|1/3|UNI|KR00339,ESTRELLA LEVANTE|1/3|UNI|KR00339,4.0
5,17,FREE DAMM LIMON|1/3|UNI|KR01818,FREE DAMM LIMON|1/3|UNI|KR01818,4.0
5,17,FREE DAMM TOSTADA|1/3|UNI|KR04806,FREE DAMM TOSTADA|1/3|UNI|KR04806,8.0
5,17,FREE DAMM|1/3|UNI|KR00036,FREE DAMM|1/3|UNI|KR00036,6.0
5,17,KELER|1/3|P12|KR80024,KELER|1/3|P12|KR80024,2.0
5,17,KELER|1/3|UNI|KR80024,KELER|1/3|UNI|KR80024,4.0
5,17,ROSA BLANCA|1/3|UNI|KR05802,ROSA BLANCA|1/3|UNI|KR05802,2.0
5,17,SKOL|1/3|UNI|KR80115,SKOL|1/3|UNI|KR80115,4.0
5,17,TURIA MARZEN 0'0 TOSTADA|1/3|UNI|KR07200,TURIA MARZEN 0'0 TOSTADA|1/3|UNI|KR07200,2.0
5,17,TURIA MARZEN|1/3|PACK|KR00607,TURIA MARZEN|1/3|PACK|KR00607,2.0
5,17,TURIA MARZEN|1/3|UNI|KR00607,TURIA MARZEN|1/3|UNI|KR00607,8.0
5,17,"VICTORIA 0,0 TOSTADA|1/3|UNI|KR83601","VICTORIA 0,0 TOSTADA|1/3|UNI|KR83601",2.0
5,17,VICTORIA|1/3|RETR|KR81115,VICTORIA|1/3|RETR|KR81115,2.0
5,17,VICTORIA|1/3|UNI|KR81115,VICTORIA|1/3|UNI|KR81115,7.0
5,17,VOLL DAMM|1/3|PACK|KR00525,VOLL DAMM|1/3|PACK|KR00525,4.0
5,17,VOLL DAMM|1/3|UNI|KR00525,VOLL DAMM|1/3|UNI|KR00525,12.0
5,17,XIBECA|1/3|P24|KR00716,XIBECA|1/3|P24|KR00716,2.0
5,17,XIBECA|1/3|PACK|KR00716,XIBECA|1/3|PACK|KR00716,2.0
5,17,XIBECA|1/3|UNI|KR00716,XIBECA|1/3|UNI|KR00716,6.0
5,19,BOCK DAMM|1/3|UNI|KR02511,BOCK DAMM|1/3|UNI|KR02511,1.0
5,19,CARLSBERG|1/2|UNI|KR05701,CARLSBERG|1/2|UNI|KR05701,2.0
5,19,CARLSBERG|1/3|P12|KR04503,CARLSBERG|1/3|P12|KR04503,2.0
5,19,DAMM LEMON|1/3|UNI|KR00924,DAMM LEMON|1/3|UNI|KR00924,4.0
5,19,ESTRELLA DAMM|1/2|UNI|KR00127,ESTRELLA DAMM|1/2|UNI|KR00127,4.0
5,19,ESTRELLA DAMM|1/2|UNI|KR02041,ESTRELLA DAMM|1/2|UNI|KR02041,4.0
5,19,ESTRELLA DAMM|1/2|UNI|KR02042,ESTRELLA DAMM|1/2|UNI|KR02042,2.0
5,19,ESTRELLA DAMM|1/2|UNI|KR03112,ESTRELLA DAMM|1/2|UNI|KR03112,2.0
5,19,ESTRELLA DAMM|1/3|P12|KR00441,ESTRELLA DAMM|1/3|P12|KR00441,15.0
5,19,ESTRELLA DAMM|1/3|P24|KR00441,ESTRELLA DAMM|1/3|P24|KR00441,6.0
5,19,ESTRELLA DAMM|1/3|P24|KR02332,ESTRELLA DAMM|1/3|P24|KR02332,8.0
5,19,ESTRELLA DAMM|1/3|P24|KR02333,ESTRELLA DAMM|1/3|P24|KR02333,2.0
5,19,ESTRELLA DAMM|1/3|UNI|KR00441,ESTRELLA DAMM|1/3|UNI|KR00441,4.0
5,19,ESTRELLA DAMM|1/3|UNI|KR02333,ESTRELLA DAMM|1/3|UNI|KR02333,6.0
5,19,ESTRELLA DAMM|1/3|UNI|KR02609,ESTRELLA DAMM|1/3|UNI|KR02609,2.0
5,19,ESTRELLA DAMM|2/5|UNI|KR06102,ESTRELLA DAMM|2/5|UNI|KR06102,6.0
5,19,ESTRELLA LEVANTE|1/2|UNI|KR05503,ESTRELLA LEVANTE|1/2|UNI|KR05503,2.0
5,19,ESTRELLA NON-ALCOHOLIC|1/3|UNI|KR01620,ESTRELLA NON-ALCOHOLIC|1/3|UNI|KR01620,2.0
5,19,ESTRELLA NON-ALCOHOLIC|1/3|UNI|KR01621,ESTRELLA NON-ALCOHOLIC|1/3|UNI|KR01621,2.0
5,19,FREE DAMM TOSTADA|1/3|PACK|KR04806,FREE DAMM TOSTADA|1/3|PACK|KR04806,2.0
5,19,FREE DAMM|1/3|PACK|KR00036,FREE DAMM|1/3|PACK|KR00036,8.0
5,19,INEDIT|1/2|UNI|KR03307,INEDIT|1/2|UNI|KR03307,2.0
5,19,KELER|1/3|P12|KR80024,KELER|1/3|P12|KR80024,2.0
5,19,KELER|1/3|P12|KR80025,KELER|1/3|P12|KR80025,2.0
5,19,LA FRÍA|1/3|P24|KR6BNZF0,LA FRÍA|1/3|P24|KR6BNZF0,4.0
5,19,ROSA BLANCA|1/3|P12|KR03502,ROSA BLANCA|1/3|P12|KR03502,2.0
5,19,ROSA BLANCA|2/5|UNI|KR06301,ROSA BLANCA|2/5|UNI|KR06301,6.0
5,19,SKOL|1/3|UNI|KR80115,SKOL|1/3|UNI|KR80115,4.0
5,19,TURIA MARZEN|1/3|PACK|KR00607,TURIA MARZEN|1/3|PACK|KR00607,4.0
5,19,VICTORIA|1/2|UNI|KR82805,VICTORIA|1/2|UNI|KR82805,4.0
5,19,VICTORIA|1/3|P12|KR81115,VICTORIA|1/3|P12|KR81115,2.0
5,19,VOLL DAMM|1/2|UNI|KR02702,VOLL DAMM|1/2|UNI|KR02702,2.0
5,19,VOLL DAMM|1/3|P12|KR00525,VOLL DAMM|1/3|P12|KR00525,14.0
5,19,XIBECA|1/2|UNI|KR00203,XIBECA|1/2|UNI|KR00203,4.0
5,19,XIBECA|1/3|P12|KR00716,XIBECA|1/3|P12|KR00716,4.0
5,19,XIBECA|1/3|UNI|KR00716,XIBECA|1/3|UNI|KR00716,2.0
6,14,"DAURA 0,0|1/3|PACK|KR06400","DAURA 0,0|1/3|PACK|KR06400",2.0
6,14,EMD BRAU|1/3|P12|KR6BNEB9,EMD BRAU|1/3|P12|KR6BNEB9,4.0
6,14,ESTRELLA DAMM|1/2|UNI|KR00127,ESTRELLA DAMM|1/2|UNI|KR00127,2.0
6,14,ESTRELLA DAMM|1/3|P6|KR02321,ESTRELLA DAMM|1/3|P6|KR02321,2.0
6,14,ESTRELLA DAMM|1/3|UNI|KR00440,ESTRELLA DAMM|1/3|UNI|KR00440,18.0
6,14,ESTRELLA DAMM|1/3|UNI|KR00441,ESTRELLA DAMM|1/3|UNI|KR00441,19.0
6,14,FREE DAMM LIMON|1/3|UNI|KR01818,FREE DAMM LIMON|1/3|UNI|KR01818,2.0
6,14,SKOL|1/3|RETR|KR80115,SKOL|1/3|RETR|KR80115,6.0
6,14,VICTORIA|1/3|P6|KR81115,VICTORIA|1/3|P6|KR81115,21.0
6,14,VOLL DAMM|1/3|P6|KR00525,VOLL DAMM|1/3|P6|KR00525,12.0
6,14,VOLL DAMM|1/3|UNI|KR00525,VOLL DAMM|1/3|UNI|KR00525,8.0
6,14,XIBECA|1/3|UNI|KR00716,XIBECA|1/3|UNI|KR00716,2.0
6,17,CARLSBERG|1/3|UNI|KR04503,CARLSBERG|1/3|UNI|KR04503,2.0
6,17,COMPLOT|1/3|UNI|KR05002,COMPLOT|1/3|UNI|KR05002,4.0
6,17,DAMM LEMON|1/3|UNI|KR00924,DAMM LEMON|1/3|UNI|KR00924,6.0
6,17,DAURA|1/3|UNI|KR02207,DAURA|1/3|UNI|KR02207,6.0
6,17,ESTRELLA DAMM|1/3|P24|KR00441,ESTRELLA DAMM|1/3|P24|KR00441,10.0
6,17,ESTRELLA DAMM|1/3|UNI|KR00440,ESTRELLA DAMM|1/3|UNI|KR00440,6.0
6,17,ESTRELLA DAMM|1/3|UNI|KR00441,ESTRELLA DAMM|1/3|UNI|KR00441,21.0
6,17,ESTRELLA LEVANTE|1/3|P24|KR00339,ESTRELLA LEVANTE|1/3|P24|KR00339,2.0
6,17,ESTRELLA LEVANTE|1/3|UNI|KR00339,ESTRELLA LEVANTE|1/3|UNI|KR00339,4.0
6,17,FREE DAMM LIMON|1/3|UNI|KR01818,FREE DAMM LIMON|1/3|UNI|KR01818,6.0
6,17,FREE DAMM TOSTADA|1/3|UNI|KR04806,FREE DAMM TOSTADA|1/3|UNI|KR04806,8.0
6,17,FREE DAMM|1/3|UNI|KR00036,FREE DAMM|1/3|UNI|KR00036,8.0
6,17,KELER|1/3|P12|KR80024,KELER|1/3|P12|KR80024,2.0
6,17,KELER|1/3|UNI|KR80024,KELER|1/3|UNI|KR80024,4.0
6,17,KELER|1/3|UNI|KR80025,KELER|1/3|UNI|KR80025,2.0
6,17,ROSA BLANCA|1/3|UNI|KR05802,ROSA BLANCA|1/3|UNI|KR05802,2.0
