week,line,prev_sku,next_sku,count
3,19,FD13LP12,EN13LB24,1
3,19,FD13LP4A,ED13LP12,1
3,19,FDT1312N,LC12LTNN,1
3,19,LC12LTNN,EX13LBUK,1
3,19,RL25LBAN,FD13LP12,1
3,19,TU13LP12,VO13P12M,1
3,19,VI12LTN,ED12LTW,1
3,19,VI12LTN,FDT1312N,1
3,19,VI1312MN,ED13LTW,1
3,19,VO13P12M,ED13P12M,1
3,19,VO13P12M,VO13PL12,2
3,19,VO13PL12,ED13P12M,1
3,19,VO13PL12,VO13P12M,1
3,19,XI12LT,VI12LTN,1
3,19,XI13LTN,ED1324MZ,1
4,14,ECN13L6U,VI13LP6M,1
4,14,ED12LTW,VI13L6N,1
4,14,ED13LCMM,ED13LTMW,1
4,14,ED13LCMM,VI13LP6M,1
4,14,ED13LCMW,ED13LTW,1
4,14,ED13LCMW,VO13L6M1,1
4,14,ED13LTMW,ED13LTW,1
4,14,ED13LTW,ED13LCMW,1
4,14,ED13LTW,ED13LTCW,1
4,14,ED13LTW,ED13LTW,2
4,14,ED13LTW,FDL13LN,1
4,14,EX13LP6S,SK1312MN,1
4,14,FDL13LN,VI13LP6M,1
4,14,SK1312MN,ED13LTW,1
4,14,VI13L6N,ED13LCMM,2
4,14,VI13L6N,VO13LTNN,1
4,14,VI13LP6M,ED13LCMW,1
4,14,VI13LP6M,VI13L6N,2
4,14,VI13LP6M,VO13LTMN,1
4,14,VO13L6M1,VO13LTMN,1
4,14,VO13LTMN,EX13LP6S,1
4,14,VO13LTMN,VO13LTP6,1
4,14,VO13LTNN,ED12LTW,1
4,14,VO13LTP6,XI13LTN,1
4,14,XI13LTN,ECN13L6U,1
4,17,CB13LTN,LC13LTNN,1
4,17,CM13LT,DL13LN,1
4,17,CM13LT,FDL13LN,1
4,17,DL13LN,FD13LN,1
4,17,DL13LN,FDT13LT,1
4,17,EC13LTNN,ED13LTFW,1
4,17,ED13LP24,ED13LTFW,1
4,17,ED13LP24,XI13LTN,1
4,17,ED13LTFW,ED13LTW,1
4,17,ED13LTFW,VO13LTNN,1
4,17,ED13LTW,CM13LT,1
4,17,ED13LTW,ED13P24M,1
4,17,ED13LTW,FDL13LN,1
4,17,ED13P24M,DL13LN,1
4,17,ED13P24M,ED13P24M,1
4,17,FD13LN,TNT13LT,1
4,17,FD13LN,VO13LTFN,1
4,17,FDL13LN,SK13LN,1
4,17,FDT13LT,FD13LN,1
4,17,FDT13LT,KE13LTNN,1
4,17,FDT13LT,TU13LP12,1
4,17,KE13LTNN,KE13PL12,1
4,17,KE13LTNN,VO13LTNN,1
4,17,KE13PL12,TU13LTN,1
4,17,LC1324MM,VI1324MM,1
4,17,LC13LTNN,ED13LP24,1
4,17,SK13LN,CM13LT,1
4,17,TNT13LT,VNT13LT,1
4,17,TU13LP12,VO13LTNN,1
4,17,TU13LTN,FDT13LT,1
4,17,TU13LTN,VI13LN,1
4,17,TU13LTN,VO13LTNN,1
4,17,VI1324MM,VI13LN,1
4,17,VI13LN,FDT13LT,1
4,17,VI13LN,VO13LTNN,1
4,17,VI13LN,XI13L24Y,1
4,17,VNT13LT,XI13LTN,1
4,17,VO13LP24,EC13LTNN,1
4,17,VO13LTFN,TU13LTN,1
4,17,VO13LTNN,ED13LP24,1
4,17,VO13LTNN,ED13LTW,1
4,17,VO13LTNN,KE13LTNN,1
4,17,VO13LTNN,LC1324MM,1
4,17,VO13LTNN,TU13LTN,1
4,17,XI13L24Y,CB13LTN,1
4,17,XI13LTN,ED13LTW,1
4,17,XI13LTN,VO13LP24,1
4,19,3BNZFLB1,SK13LN,1
4,19,CB12LTF,VI12LTN,1
4,19,CB13L12P,EX13LBAN,1
4,19,DL13LN,EX12LTBN,1
4,19,ED12LTW,CB12LTF,1
4,19,ED12LTW,EX1224LB,1
4,19,ED1312MZ,ED13LP12,1
4,19,ED1324MZ,DL13LN,1
4,19,ED1324MZ,XI13LTN,1
4,19,ED13LP12,ED13LTW,1
4,19,ED13LP12,VO13P12M,1
4,19,ED13LP12,XI13LP12,1
4,19,ED13LTW,ED13P24M,1
4,19,ED13LTW,VO12LT,1
4,19,ED13P12M,EX25LBAN,1
4,19,ED13P12M,VI1312MN,1
4,19,ED13P24M,ED1324MZ,1
4,19,EN13LB24,FD13LP12,1
4,19,EX1224LB,EX12LTBK,1
4,19,EX12LTBK,EX12LTBN,1
4,19,EX12LTBN,EX13LTBI,1
4,19,EX12LTBN,XI12LT,1
4,19,EX13L24B,FD13LP4A,2
4,19,EX13LBAN,EX13LBUK,1
4,19,EX13LBUK,EX13L24B,2
4,19,EX13LTBI,CB13L12P,1
4,19,EX25LBAN,EN13LB24,1
4,19,EX25LBAN,EX25LBAN,1
4,19,FD13LP12,RL25LBAN,1
4,19,FD13LP4A,ED13LP12,1
4,19,FD13LP4A,XI13L12M,1
4,19,FDT1312N,EX13LBUK,1
4,19,ID12LBN,ED12LTW,1
4,19,KE13PL12,VO13PL12,1
4,19,LC12LTNN,FDT1312N,1
4,19,RL25LBAN,VO13PL12,1
4,19,SK13LN,3BNZFLB1,1
4,19,TU13LP12,VO13P12M,1
4,19,VI12LTN,ED12LTW,1
4,19,VI12LTN,LC12LTNN,1
4,19,VI1312MN,VO13P12M,1
4,19,VO12LT,XI12LT,1
4,19,VO13P12M,ED13LTW,1
4,19,VO13P12M,ED13P12M,1
4,19,VO13P12M,VO13PL12,1
4,19,VO13PL12,ED1312MZ,1
4,19,VO13PL12,ED13P12M,1
4,19,VO13PL12,TU13LP12,1
4,19,XI12LT,ID12LBN,1
4,19,XI12LT,VI12LTN,1
4,19,XI13L12M,KE13PL12,1
4,19,XI13LP12,SK13LN,1
4,19,XI13LTN,ED1324MZ,1
5,14,ECN13L6U,ED13LCMM,1
5,14,ED12LTW,VI13L6N,1
5,14,ED13LCMM,ED13LTW,1
5,14,ED13LCMM,VI13L6N,1
5,14,ED13LCMM,VO13LTP6,1
5,14,ED13LCMW,ED13LTW,1
5,14,ED13LCMW,VI13LP6M,1
5,14,ED13LTCW,3BNEBL23,1
5,14,ED13LTCW,ED13LCMM,1
5,14,ED13LTMW,FDL13LN,1
5,14,ED13LTMW,VO13LTP6,1
5,14,ED13LTW,ED13LCMW,1
5,14,ED13LTW,ED13LTCW,1
5,14,ED13LTW,ED13LTW,2
5,14,ED13LTW,VI13LP6M,1
5,14,ED13LTW,VO13L6M1,1
5,14,EX13LP6S,SK1312MN,1
5,14,FDL13LN,ED13LTW,1
5,14,SK1312MN,ED13LTW,1
5,14,VI13L6N,ED13LCMM,1
5,14,VI13L6N,VI13LP6M,2
5,14,VI13L6N,VO13LTNN,1
5,14,VI13LP6M,ED13LTCW,1
5,14,VI13LP6M,ED13LTMW,1
5,14,VI13LP6M,VI13L6N,1
5,14,VI13LP6M,VO13LTMN,1
5,14,VI13LP6M,XI13LTN,1
5,14,VO13L6M1,ED13LCMW,1
5,14,VO13L6M1,ED13LTMW,1
5,14,VO13LTMN,EX13LP6S,1
5,14,VO13LTMN,VO13L6M1,1
5,14,VO13LTNN,ED12LTW,1
5,14,VO13LTP6,VI13L6N,1
5,14,VO13LTP6,VO13LTMN,1
5,14,XI13LTN,ECN13L6U,1
5,17,CB13LTN,LC13LTNN,1
5,17,CM13LT,DL13LN,1
5,17,CM13LT,FD13LN,1
5,17,DL13LN,FD13LN,1
5,17,DL13LN,FDT13LT,1
5,17,EC13LTNN,ED13LTCW,1
5,17,EC13LTNN,ED13LTFW,1
5,17,ED13LP24,ED13LTFW,1
5,17,ED13LP24,XI13LTN,1
5,17,ED13LTCW,ED13LTW,1
5,17,ED13LTFW,CM13LT,1
5,17,ED13LTFW,VO13LTNN,1
5,17,ED13LTFW,XI13P24F,1
5,17,ED13LTW,EC13LTNN,1
5,17,ED13LTW,ED13P24M,1
5,17,ED13LTW,FDL13LN,1
5,17,ED13LTW,SK13LN,1
5,17,ED13P24M,DL13LN,1
5,17,ED13P24M,ED13LTFW,1
5,17,ED13P24M,ED13P24M,1
5,17,FD13LN,FDT13LT,1
5,17,FD13LN,LC13LTNN,1
5,17,FD13LN,TNT13LT,1
5,17,FDL13LN,CM13LT,1
5,17,FDL13LN,ED13LTW,1
5,17,FDT13LT,FD13LN,1
5,17,FDT13LT,KE13LTNN,1
5,17,FDT13LT,RL13LBAN,1
5,17,FDT13LT,TU13LP12,1
5,17,KE13LTNN,KE13PL12,1
5,17,KE13LTNN,TU13LTN,1
5,17,KE13PL12,TU13LTN,1
5,17,LC1324MM,VI1324MM,1
5,17,LC13LTNN,ED13LP24,1
5,17,LC13LTNN,TU13LTN,1
5,17,RL13LBAN,SK13LN,1
5,17,SK13LN,ED13LP24,1
5,17,SK13LN,VI13LN,1
5,17,TNT13LT,VNT13LT,1
5,17,TU13LP12,VO13LTNN,1
5,17,TU13LTN,FDT13LT,1
5,17,TU13LTN,VI13LN,1
5,17,TU13LTN,VO13LTFN,1
5,17,TU13LTN,VO13LTNN,1
5,17,VI1324MM,VI13LN,1
5,17,VI13LN,CB13LTN,1
5,17,VI13LN,ED13P24M,1
5,17,VI13LN,FDT13LT,1
5,17,VI13LN,VO13LTNN,1
5,17,VNT13LT,XI13LTN,1
5,17,VO13LP24,EC13LTNN,1
5,17,VO13LP24,ED13LTCW,1
5,17,VO13LTFN,VO13LTNN,1
5,17,VO13LTNN,ED13LTW,1
5,17,VO13LTNN,FDL13LN,1
5,17,VO13LTNN,KE13LTNN,1
5,17,VO13LTNN,LC1324MM,1
5,17,VO13LTNN,TU13LTN,1
5,17,XI13L24Y,ED13LTW,1
5,17,XI13LTN,VO13LP24,2
5,17,XI13LTN,XI13L24Y,1
5,17,XI13P24F,XI13LTN,1
5,19,3BNZFLB1,EN13B24I,1
5,19,3BNZFLB1,EX13L12K,1
5,19,CB12LTF,VI12LTN,1
5,19,CB13L12P,EX13LTBI,1
5,19,DL13LN,EX12LTBN,1
5,19,DL13LN,EX25LBAN,1
5,19,ED12LTW,EX1224LB,1
5,19,ED12LTW,EX13L24B,1
5,19,ED1312MZ,ED13LP12,1
5,19,ED1324MZ,DL13LN,1
5,19,ED1324MZ,XI13LTN,1
5,19,ED13LP12,ED13LTW,1
5,19,ED13LP12,ED13P12M,1
5,19,ED13LP12,VO13P12M,1
5,19,ED13LP12,XI13L12M,1
5,19,ED13LTW,ED13P24M,1
5,19,ED13LTW,VO12LT,1
5,19,ED13P12M,RL25LBAN,1
5,19,ED13P12M,VI1312MN,1
5,19,ED13P12M,VO13PL12,1
5,19,ED13P24M,ED1324MZ,1
5,19,EN13B24I,EX13L24B,1
5,19,EN13LB24,FD13LP12,1
5,19,EX1224LB,EX12LTBK,1
5,19,EX12LTBK,EX13L24B,1
5,19,EX12LTBN,ED12LTW,1
5,19,EX12LTBN,XI12LT,1
5,19,EX13L12K,3BNZFLB1,1
5,19,EX13L24B,EX13LBUK,3
5,19,EX13LBAN,CB13L12P,1
5,19,EX13LBUK,FD13LP4A,2
5,19,EX13LBUK,TU13LP12,1
5,19,EX13LTBI,KE13PL12,1
5,19,EX25LBAN,BO13LT,1
5,19,EX25LBAN,EN13LB24,1
5,19,EX25LBAN,VO13PL12,1
5,19,FD13LP12,KE13PL12,1
5,19,FD13LP12,RL25LBAN,1
5,19,FD13LP4A,EX13LBAN,1
5,19,FD13LP4A,FDT1312N,1
5,19,FDT1312N,LC12LTNN,1
5,19,ID12LBN,EX12LTBN,1
5,19,KE13PL12,VO13PL12,2
5,19,LC12LTNN,VI12LTN,1
5,19,RB13L12N,RL25LBAN,1
5,19,RL25LBAN,DL13LN,1
5,19,RL25LBAN,EX25LBAN,1
5,19,RL25LBAN,RB13L12N,1
5,19,SK13LN,3BNZFLB1,1
5,19,SK13LN,SK13LN,1
5,19,TU13LP12,FD13LP12,1
5,19,TU13LP12,VO13P12M,1
5,19,VI12LTN,ED12LTW,1
5,19,VI12LTN,ED13P12M,1
5,19,VI1312MN,VO13P12M,1
5,19,VO12LT,XI12LT,1
5,19,VO13P12M,ED13LTW,1
5,19,VO13P12M,ED13P12M,1
5,19,VO13P12M,EX25LBAN,1
5,19,VO13PL12,ED1312MZ,1
5,19,VO13PL12,ED13LP12,2
5,19,VO13PL12,TU13LP12,1
5,19,XI12LT,CB12LTF,1
5,19,XI12LT,ID12LBN,1
5,19,XI13L12M,XI13LP12,1
5,19,XI13LP12,SK13LN,1
5,19,XI13LTN,ED1324MZ,1
6,14,3BNEBL23,SK1312MN,1
6,14,3BNEBL23,VI13LP6M,1
6,14,ECN13L6U,ED13LCMM,1
6,14,ED12LTW,VI13L6N,1
6,14,ED13LCMM,ED13LTMW,1
6,14,ED13LCMM,ED13LTW,1
6,14,ED13LCMM,VI13L6N,1
6,14,ED13LCMM,VI13LP6M,1
6,14,ED13LCMW,ED13LTW,2
6,14,ED13LCMW,VO13L6M1,1
6,14,ED13LTCW,3BNEBL23,1
6,14,ED13LTCW,ED13LCMM,1
6,14,ED13LTMW,ED13LCMW,1
6,14,ED13LTMW,ED13LTW,1
6,14,ED13LTMW,VO13LTP6,1
6,14,ED13LTW,ED13LTCW,1
6,14,ED13LTW,ED13LTW,3
6,14,ED13LTW,FDL13LN,1
6,14,ED13LTW,VO13L6M1,1
6,14,EX13LP6S,SK1312MN,1
6,14,FDL13LN,VI13LP6M,1
6,14,SK1312MN,ED13LCMW,1
6,14,SK1312MN,SK13L12,1
6,14,SK13L12,3BNEBL23,1
6,14,VI13L6N,ED13LCMM,1
6,14,VI13L6N,ED13LTCW,1
6,14,VI13L6N,VI13LP6M,1
6,14,VI13L6N,VO13L6M1,1
6,14,VI13L6N,VO13LTNN,1
6,14,VI13LP6M,ED13LCMW,1
6,14,VI13LP6M,ED13LTMW,1
6,14,VI13LP6M,VI13L6N,3
6,14,VI13LP6M,VO13LTMN,1
6,14,VO13L6M1,ED13LTMW,1
6,14,VO13L6M1,VO13LTMN,2
6,14,VO13LTMN,EX13LP6S,1
6,14,VO13LTMN,VO13LTP6,2
6,14,VO13LTNN,ED12LTW,1
6,14,VO13LTP6,ED13LCMM,1
6,14,VO13LTP6,VI13LP6M,1
6,14,VO13LTP6,XI13LTN,1
6,14,XI13LTN,ECN13L6U,1
6,17,CB13LTN,LC13LTNN,1
6,17,CM13LT,FDL13LN,1
6,17,CM13LT,TNT13LT,1
6,17,DL13LN,CM13LT,1
6,17,DL13LN,ED13LTW,1
6,17,DL13LN,FD13LN,1
6,17,EC13LTNN,ED13LTCW,1
6,17,EC13LTNN,ED13LTFW,1
6,17,EC13LTNN,FD13LN,1
6,17,ED13LP24,CM13LT,1
6,17,ED13LP24,ED13LTFW,1
6,17,ED13LP24,FDL13LN,1
6,17,ED13LTCW,EC13LTNN,1
6,17,ED13LTCW,ED13LTCW,1
6,17,ED13LTCW,ED13LTW,1
6,17,ED13LTFW,ED13LTW,1
6,17,ED13LTFW,VO13LTNN,1
6,17,ED13LTFW,XI13P24F,1
6,17,ED13LTW,ED13LP24,1
6,17,ED13LTW,ED13LTCW,1
6,17,ED13LTW,ED13LTW,1
6,17,ED13LTW,ED13P24M,1
6,17,ED13LTW,FDL13LN,1
6,17,ED13LTW,XI13L24Y,1
6,17,ED13P24M,DL13LN,1
6,17,ED13P24M,ED13LTFW,1
6,17,ED13P24M,ED13P24M,1
6,17,FD13LN,FDT13LT,1
6,17,FD13LN,KE13LTNN,1
6,17,FD13LN,LC13LTNN,1
6,17,FD13LN,VO13LP24,1
6,17,FDL13LN,DL13LN,1
6,17,FDL13LN,FD13LN,1
6,17,FDL13LN,SK13LN,1
6,17,FDT13LT,FD13LN,1
6,17,FDT13LT,KE13LTNN,1
6,17,FDT13LT,TU13LP12,1
6,17,FDT13LT,VI13LN,1
6,17,KE13LTNN,KE13PL12,1
6,17,KE13LTNN,TU13LTN,2
6,17,KE13PL12,FDT13LT,1
6,17,LC1324MM,VI1324MM,1
6,17,LC13LTNN,ED13LP24,1
6,17,LC13LTNN,TU13LTN,1
6,17,RL13LBAN,SK13LN,1
6,17,SK13LN,DL13LN,1
6,17,SK13LN,ED13P24M,1
6,17,TNT13LT,VNT13LT,1
6,17,TU13LP12,TU13LTN,1
6,17,TU13LTN,FDT13LT,1
6,17,TU13LTN,VI13LN,2
6,17,TU13LTN,VO13LTFN,1
6,17,TU13LTN,VO13LTNN,1
6,17,VI1324MM,VI13LN,1
6,17,VI13LN,ED13LTW,1
6,17,VI13LN,RL13LBAN,1
6,17,VI13LN,VO13LTFN,1
6,17,VI13LN,VO13LTNN,2
6,17,VNT13LT,FDT13LT,1
6,17,VO13LP24,ED13LTW,1
6,17,VO13LP24,VO13LTFN,1
6,17,VO13LP24,VO13LTNN,1
6,17,VO13LP24,XI13LTN,1
6,17,VO13LTFN,VO13LP24,1
6,17,VO13LTFN,VO13LTNN,1
6,17,VO13LTFN,XI13LTN,1
6,17,VO13LTNN,EC13LTNN,1
6,17,VO13LTNN,ED13LP24,1
6,17,VO13LTNN,ED13LTW,1
6,17,VO13LTNN,KE13LTNN,1
6,17,VO13LTNN,LC1324MM,1
6,17,VO13LTNN,TU13LTN,1
6,17,XI13L24Y,XI13LTN,1
6,17,XI13LTN,CB13LTN,1
6,17,XI13LTN,EC13LTNN,1
6,17,XI13LTN,VO13LP24,2
6,17,XI13P24F,XI13LTN,1
6,19,3BNZFLB1,EN13B24I,1
6,19,3BNZFLB1,EX13L12K,1
6,19,5BNNNLB0,EX12LB,1
6,19,7BNG3LB0,EX13LBUK,1
6,19,7BNS9LB0,ED1312MZ,1
6,19,BO13LT,LC12LTNN,1
6,19,CB12LTF,VI12LTN,1
6,19,CB13L12P,EX13LBAN,1
6,19,DL13LN,BO13LT,1
6,19,DL13LN,EX12LTBN,1
6,19,ED12LTW,EX1224LB,1
6,19,ED12LTW,VI12LTN,1
6,19,ED12LTW,VO12LT,1
6,19,ED12LTW,XI12LT,1
6,19,ED1312MZ,ED13LP12,1
6,19,ED1312MZ,VO13P12M,1
6,19,ED1324MZ,DL13LN,1
6,19,ED1324MZ,XI13LTN,1
6,19,ED13LP12,ED13LTW,2
6,19,ED13LP12,RB13L12N,1
6,19,ED13LP12,VO13P12M,1
6,19,ED13LP12,XI13L12M,1
6,19,ED13LTW,ED13P24M,1
6,19,ED13LTW,VO12LT,1
6,19,ED13P12M,ED13LP12,1
6,19,ED13P12M,ED13LTW,1
6,19,ED13P12M,RL25LBAN,1
6,19,ED13P12M,VO13PL12,1
6,19,ED13P24M,ED1324MZ,1
6,19,EN13B24I,EX13L24B,1
6,19,EN13LB24,FD13LP12,1
6,19,EX1224LB,EX12LTBK,1
6,19,EX12B24I,7BNG3LB0,1
6,19,EX12LB,EX12B24I,1
6,19,EX12LTBK,EX12LTBN,1
6,19,EX12LTBN,ID12LBN,1
6,19,EX12LTBN,XI12LT,1
6,19,EX13L12K,3BNZFLB1,1
6,19,EX13L24B,EX13LBUK,2
6,19,EX13L24B,KE13PL12,1
6,19,EX13LBAN,FD13LP4A,1
6,19,EX13LBUK,7BNS9LB0,1
6,19,EX13LBUK,EX13L24B,1
6,19,EX13LBUK,FD13LP12,1
6,19,EX13LBUK,FD13LP4A,1
6,19,EX13LTBI,CB13L12P,1
6,19,EX25LBAN,EN13LB24,1
6,19,EX25LBAN,RL25LBAN,1
6,19,EX25LBAN,TU13LP12,1
6,19,FD13LP12,KE13PL12,1
6,19,FD13LP12,RL25LBAN,1
6,19,FD13LP4A,EX13LBUK,1
6,19,FD13LP4A,FDT1312N,1
6,19,FDT1312N,LC12LTNN,1
6,19,ID12LBN,EX13LTBI,1
6,19,KE13PL12,TU13LP12,1
6,19,KE13PL12,VO13PL12,1
6,19,LC12LTNN,ED12LTW,1
6,19,LC12LTNN,VO13PL12,1
6,19,RB13L12N,ED13P12M,1
6,19,RL25LBAN,DL13LN,1
6,19,RL25LBAN,EX25LBAN,2
6,19,SK13LN,3BNZFLB1,1
6,19,SK13LN,SK13LN,1
6,19,TU13LP12,VO13P12M,1
6,19,TU13LP12,VO13PL12,1
6,19,VI12LTN,ED12LTW,1
6,19,VI12LTN,EX13L24B,1
6,19,VI1312MN,ED13P12M,1
6,19,VO12LT,5BNNNLB0,1
6,19,VO12LT,XI12LT,1
6,19,VO13P12M,ED13P12M,1
6,19,VO13P12M,EX25LBAN,1
6,19,VO13P12M,VI1312MN,1
6,19,VO13P12M,VO13PL12,1
6,19,VO13PL12,ED1312MZ,1
6,19,VO13PL12,ED13LP12,2
6,19,VO13PL12,ED13P12M,1
6,19,VO13PL12,VO13P12M,1
6,19,XI12LT,CB12LTF,1
6,19,XI12LT,ED12LTW,2
6,19,XI13L12M,XI13LP12,1
6,19,XI13LP12,SK13LN,1
6,19,XI13LTN,ED1324MZ,1
7,14,3BNEBL23,SK1312MN,1
7,14,3BNEBL23,VO13LTP6,1
7,14,3BNZFLB1,EX13LP6S,1
7,14,3BNZFLB1,VI13L6AU,1
7,14,ECN13L6U,VI13LP6M,1
7,14,ED12LTW,VI13L6N,1
7,14,ED13LCMM,ED13LTMW,2
7,14,ED13LCMM,VI13LP6M,1
7,14,ED13LCMM,VO13L6M1,1
7,14,ED13LCMW,ED13LCMM,1
7,14,ED13LCMW,ED13LTW,1
7,14,ED13LCMW,VO13L6M1,1
7,14,ED13LTCW,3BNEBL23,1
7,14,ED13LTCW,ED13LTW,1
7,14,ED13LTMW,ED13LTW,2
7,14,ED13LTMW,VO13LTP6,1
7,14,ED13LTW,ED13LCMM,1
7,14,ED13LTW,ED13LCMW,1
7,14,ED13LTW,ED13LTCW,1
7,14,ED13LTW,ED13LTW,2
7,14,ED13LTW,FDL13LN,1
7,14,ED13LTW,VI13LP6M,1
7,14,EX13LP6S,3BNZFLB1,1
7,14,EX13LP6S,SK1312MN,1
7,14,FDL13LN,VI13LP6M,1
7,14,SK1312MN,ED13LTW,1
7,14,SK1312MN,SK13L12,1
7,14,SK13L12,3BNEBL23,1
7,14,VI13L6AU,VO13LTP6,1
7,14,VI13L6N,ED13LCMM,2
7,14,VI13L6N,ED13LCMW,1
7,14,VI13L6N,VI13LP6M,2
7,14,VI13L6N,VO13LTNN,1
7,14,VI13LP6M,3BNZFLB1,1
7,14,VI13LP6M,ED13LCMW,1
7,14,VI13LP6M,ED13LTCW,1
7,14,VI13LP6M,VI13L6N,4
7,14,VI13LP6M,VI13LP6M,1
7,14,VI13LP6M,VO13LTMN,1
7,14,VO13L6M1,ED13LTMW,1
7,14,VO13L6M1,VO13LTMN,2
7,14,VO13LTMN,EX13LP6S,1
7,14,VO13LTMN,VI13LP6M,1
7,14,VO13LTMN,VO13LTP6,1
7,14,VO13LTNN,ED12LTW,1
7,14,VO13LTP6,VI13L6N,1
7,14,VO13LTP6,VO13L6M1,1
