of,fecha,line,sku,marca,envase,tipo_envase,material_precio,node_marca,node_volumen,node_pack,node_envase,node,h_tot,hl,oee,week,week_start
0000525683-1,2025-01-14,14,VI13LP6M,VICTORIA,KR81115,LATA 1/3 SR.,VICTORIA 1/3 LATA PACK CERRADO 6U.,VICTORIA,1/3,P6,KR81115,VICTORIA|1/3|P6|KR81115,6.496944444444445,565.58,0.4396511180469451,2025-01-13/2025-01-19,2025-01-13
0000526849-1,2025-01-15,14,ED13LTMW,ESTRELLA DAMM,KR00441,LATA 1/3 SR.,ESTRELLA DAMM 1/3 LATA,ESTRELLA DAMM,1/3,UNI,KR00441,ESTRELLA DAMM|1/3|UNI|KR00441,8.590833333333334,671.56,0.3949411308060551,2025-01-13/2025-01-19,2025-01-13
0000525677-1,2025-01-17,14,ED13LTW,ESTRELLA DAMM,KR00441,LATA 1/3 SR.,ESTRELLA DAMM 1/3 LATA,ESTRELLA DAMM,1/3,UNI,KR00441,ESTRELLA DAMM|1/3|UNI|KR00441,60.77722222222222,5508.93,0.4579608893847188,2025-01-13/2025-01-19,2025-01-13
PRT9900015354-M,2025-01-17,14,FDL13LN,FREE DAMM LIMON,KR01818,LATA 1/3 SR.,FREE DAMM LIMON 1/3 LATA,FREE DAMM LIMON,1/3,UNI,KR01818,FREE DAMM LIMON|1/3|UNI|KR01818,7.391666666666667,764.69,0.5224727546035325,2025-01-13/2025-01-19,2025-01-13
0000528563-1,2025-01-21,14,VI13LP6M,VICTORIA,KR81115,LATA 1/3 SR.,VICTORIA 1/3 LATA PACK CERRADO 6U.,VICTORIA,1/3,P6,KR81115,VICTORIA|1/3|P6|KR81115,9.456666666666667,765.31,0.408922588608711,2025-01-20/2025-01-26,2025-01-20
0000528564-1,2025-01-21,14,VO13LTMN,VOLL DAMM,KR00525,LATA 1/3 SR.,VOLL DAMM 1/3 LATA LC,VOLL DAMM,1/3,UNI,KR00525,VOLL DAMM|1/3|UNI|KR00525,6.301111111111111,411.98,0.330188679245283,2025-01-20/2025-01-26,2025-01-20
0000529514-1,2025-01-21,14,EX13LP6S,ESTRELLA DAMM,KR02321,LATA 1/3 SR.,"ESTRELLA DAMM BCN 4,6 LATA1/3 CJ4 P6U.UK",ESTRELLA DAMM,1/3,P6,KR02321,ESTRELLA DAMM|1/3|P6|KR02321,6.561388888888889,411.9,0.3173574031697602,2025-01-20/2025-01-26,2025-01-20
0000529515-1,2025-01-21,14,SK1312MN,SKOL,KR80115,LATA 1/3 SR.,SKOL 1/3 LATA RETRACTIL 12U.,SKOL,1/3,RETR,KR80115,SKOL|1/3|RETR|KR80115,5.419722222222222,332.24,0.3106995884773663,2025-01-20/2025-01-26,2025-01-20
0000529513-1,2025-01-22,14,ED13LTW,ESTRELLA DAMM,KR00441,LATA 1/3 SR.,ESTRELLA DAMM 1/3 LATA,ESTRELLA DAMM,1/3,UNI,KR00441,ESTRELLA DAMM|1/3|UNI|KR00441,4.812777777777778,442.5,0.4664308905380334,2025-01-20/2025-01-26,2025-01-20
PRT9900015374-M,2025-01-22,14,ED13LCMW,ESTRELLA DAMM,KR00440,LATA 1/3 SR.,ESTRELLA DAMM 1/3 LATA,ESTRELLA DAMM,1/3,UNI,KR00440,ESTRELLA DAMM|1/3|UNI|KR00440,5.816388888888889,530.16,0.46051311451913435,2025-01-20/2025-01-26,2025-01-20
0000529456-1,2025-01-23,14,ED13LTW,ESTRELLA DAMM,KR00441,LATA 1/3 SR.,ESTRELLA DAMM 1/3 LATA,ESTRELLA DAMM,1/3,UNI,KR00441,ESTRELLA DAMM|1/3|UNI|KR00441,17.891111111111112,1826.96,0.5159762026810817,2025-01-20/2025-01-26,2025-01-20
0000530602-1,2025-01-23,14,ED13LTW,ESTRELLA DAMM,KR00441,LATA 1/3 SR.,ESTRELLA DAMM 1/3 LATA,ESTRELLA DAMM,1/3,UNI,KR00441,ESTRELLA DAMM|1/3|UNI|KR00441,1.3552777777777778,80.85,0.3010862881738061,2025-01-20/2025-01-26,2025-01-20
PRT9900015377-M,2025-01-24,14,ED13LTW,ESTRELLA DAMM,KR00441,LATA 1/3 SR.,ESTRELLA DAMM 1/3 LATA,ESTRELLA DAMM,1/3,UNI,KR00441,ESTRELLA DAMM|1/3|UNI|KR00441,17.325277777777778,2003.95,0.5844187090979084,2025-01-20/2025-01-26,2025-01-20
0000533519-1,2025-01-25,14,ED13LTCW,ESTRELLA DAMM,KR00440,LATA 1/3 SR.,ESTRELLA DAMM 1/3 LATA,ESTRELLA DAMM,1/3,UNI,KR00440,ESTRELLA DAMM|1/3|UNI|KR00440,23.99861111111111,2144.5,0.4512992650037618,2025-01-20/2025-01-26,2025-01-20
0000530598-1,2025-01-27,14,ED13LCMM,ESTRELLA DAMM,KR00440,LATA 1/3 SR.,ESTRELLA DAMM 1/3 LATA,ESTRELLA DAMM,1/3,UNI,KR00440,ESTRELLA DAMM|1/3|UNI|KR00440,7.658333333333333,660.63,0.4357811479573325,2025-01-27/2025-02-02,2025-01-27
0000530603-1,2025-01-27,14,ED13LTW,ESTRELLA DAMM,KR00441,LATA 1/3 SR.,ESTRELLA DAMM 1/3 LATA,ESTRELLA DAMM,1/3,UNI,KR00441,ESTRELLA DAMM|1/3|UNI|KR00441,0.5766666666666667,1.42,0.012042389210019268,2025-01-27/2025-02-02,2025-01-27
0000523669-1,2025-01-28,14,VO13L6M1,VOLL DAMM,KR00525,LATA 1/3 SR.,VOLL DAMM 1/3 LATA PACK C. 6U.,VOLL DAMM,1/3,P6,KR00525,VOLL DAMM|1/3|P6|KR00525,5.1866666666666665,442.9,0.43123393316195374,2025-01-27/2025-02-02,2025-01-27
0000530600-1,2025-01-28,14,ED13LTMW,ESTRELLA DAMM,KR00441,LATA 1/3 SR.,ESTRELLA DAMM 1/3 LATA,ESTRELLA DAMM,1/3,UNI,KR00441,ESTRELLA DAMM|1/3|UNI|KR00441,12.669166666666667,1118.32,0.4458795666856717,2025-01-27/2025-02-02,2025-01-27
0000530607-1,2025-01-28,14,VO13LTP6,VOLL DAMM,KR00525,LATA 1/3 SR.,VOLL DAMM 1/3 LATA PACK C. 6U.,VOLL DAMM,1/3,P6,KR00525,VOLL DAMM|1/3|P6|KR00525,4.123055555555555,410.38,0.5026611870915583,2025-01-27/2025-02-02,2025-01-27
0000530605-1,2025-01-29,14,VI13L6N,VICTORIA,KR81115,LATA 1/3 SR.,VICTORIA 1/3 LATA PACK CERRADO 6U.,VICTORIA,1/3,P6,KR81115,VICTORIA|1/3|P6|KR81115,4.481111111111111,366.15,0.41293964394268345,2025-01-27/2025-02-02,2025-01-27
0000530606-1,2025-01-29,14,VI13LP6M,VICTORIA,KR81115,LATA 1/3 SR.,VICTORIA 1/3 LATA PACK CERRADO 6U.,VICTORIA,1/3,P6,KR81115,VICTORIA|1/3|P6|KR81115,6.388333333333334,691.57,0.5466997130185234,2025-01-27/2025-02-02,2025-01-27
0000530599-1,2025-01-30,14,ED13LTCW,ESTRELLA DAMM,KR00440,LATA 1/3 SR.,ESTRELLA DAMM 1/3 LATA,ESTRELLA DAMM,1/3,UNI,KR00440,ESTRELLA DAMM|1/3|UNI|KR00440,28.44472222222222,3328.2,0.5909778988798062,2025-01-27/2025-02-02,2025-01-27
0000530597-1,2025-02-01,14,3BNEBL23,EMD BRAU,KR6BNEB9,LATA 1/3 SR.,"BEER EMD BRAU 4,5º 33CL L P12 P",EMD BRAU,1/3,P12,KR6BNEB9,EMD BRAU|1/3|P12|KR6BNEB9,40.78611111111111,4298.75,0.5323094735408295,2025-01-27/2025-02-02,2025-01-27
0000534593-1,2025-02-03,14,SK1312MN,SKOL,KR80115,LATA 1/3 SR.,SKOL 1/3 LATA RETRACTIL 12U.,SKOL,1/3,RETR,KR80115,SKOL|1/3|RETR|KR80115,1.5691666666666666,207.34,0.6671977341122323,2025-02-03/2025-02-09,2025-02-03
0000534821-1,2025-02-03,14,SK13L12,SKOL,KR80115,LATA 1/3 SR.,SKOL 1/3 LATA RETRACTIL 12U.,SKOL,1/3,RETR,KR80115,SKOL|1/3|RETR|KR80115,2.444166666666667,166.9,0.3448119104443687,2025-02-03/2025-02-09,2025-02-03
PRT9900015422-M,2025-02-03,14,3BNEBL23,EMD BRAU,KR6BNEB9,LATA 1/3 SR.,"BEER EMD BRAU 4,5º 33CL L P12 P",EMD BRAU,1/3,P12,KR6BNEB9,EMD BRAU|1/3|P12|KR6BNEB9,5.828055555555555,530.44,0.45996089092383274,2025-02-03/2025-02-09,2025-02-03
0000534595-1,2025-02-04,14,VI13LP6M,VICTORIA,KR81115,LATA 1/3 SR.,VICTORIA 1/3 LATA PACK CERRADO 6U.,VICTORIA,1/3,P6,KR81115,VICTORIA|1/3|P6|KR81115,5.995277777777778,657.23,0.5536301718945467,2025-02-03/2025-02-09,2025-02-03
0000537845-1,2025-02-04,14,VI13L6N,VICTORIA,KR81115,LATA 1/3 SR.,VICTORIA 1/3 LATA PACK CERRADO 6U.,VICTORIA,1/3,P6,KR81115,VICTORIA|1/3|P6|KR81115,4.4944444444444445,402.4,0.4521631644004945,2025-02-03/2025-02-09,2025-02-03
0000537847-1,2025-02-04,14,VO13L6M1,VOLL DAMM,KR00525,LATA 1/3 SR.,VOLL DAMM 1/3 LATA PACK C. 6U.,VOLL DAMM,1/3,P6,KR00525,VOLL DAMM|1/3|P6|KR00525,2.8494444444444444,349.56,0.619879047990636,2025-02-03/2025-02-09,2025-02-03
0000537864-1,2025-02-04,14,VO13LTMN,VOLL DAMM,KR00525,LATA 1/3 SR.,VOLL DAMM 1/3 LATA LC,VOLL DAMM,1/3,UNI,KR00525,VOLL DAMM|1/3|UNI|KR00525,7.257777777777778,721.44,0.5031067812212334,2025-02-03/2025-02-09,2025-02-03
0000537979-1,2025-02-04,14,VO13LTP6,VOLL DAMM,KR00525,LATA 1/3 SR.,VOLL DAMM 1/3 LATA PACK C. 6U.,VOLL DAMM,1/3,P6,KR00525,VOLL DAMM|1/3|P6|KR00525,4.802222222222222,400.1,0.42094907407407406,2025-02-03/2025-02-09,2025-02-03
0000537834-1,2025-02-05,14,ED13LCMW,ESTRELLA DAMM,KR00440,LATA 1/3 SR.,ESTRELLA DAMM 1/3 LATA,ESTRELLA DAMM,1/3,UNI,KR00440,ESTRELLA DAMM|1/3|UNI|KR00440,5.048611111111111,417.64,0.41790962628653205,2025-02-03/2025-02-09,2025-02-03
0000537977-1,2025-02-05,14,ED13LCMM,ESTRELLA DAMM,KR00440,LATA 1/3 SR.,ESTRELLA DAMM 1/3 LATA,ESTRELLA DAMM,1/3,UNI,KR00440,ESTRELLA DAMM|1/3|UNI|KR00440,4.22,406.89,0.4869668246445498,2025-02-03/2025-02-09,2025-02-03
0000537978-1,2025-02-05,14,ED13LTMW,ESTRELLA DAMM,KR00441,LATA 1/3 SR.,ESTRELLA DAMM 1/3 LATA,ESTRELLA DAMM,1/3,UNI,KR00441,ESTRELLA DAMM|1/3|UNI|KR00441,4.461111111111111,246.27,0.27876712328767117,2025-02-03/2025-02-09,2025-02-03
0000537835-1,2025-02-08,14,ED13LTW,ESTRELLA DAMM,KR00441,LATA 1/3 SR.,ESTRELLA DAMM 1/3 LATA,ESTRELLA DAMM,1/3,UNI,KR00441,ESTRELLA DAMM|1/3|UNI|KR00441,76.7325,8849.55,0.5826733444146287,2025-02-03/2025-02-09,2025-02-03
0000536817-1,2025-02-11,14,VI13LP6M,VICTORIA,KR81115,LATA 1/3 SR.,VICTORIA 1/3 LATA PACK CERRADO 6U.,VICTORIA,1/3,P6,KR81115,VICTORIA|1/3|P6|KR81115,16.303333333333335,1298.99,0.455372809131751,2025-02-10/2025-02-16,2025-02-10
0000537918-1,2025-02-11,14,VI13L6N,VICTORIA,KR81115,LATA 1/3 SR.,VICTORIA 1/3 LATA PACK CERRADO 6U.,VICTORIA,1/3,P6,KR81115,VICTORIA|1/3|P6|KR81115,6.974722222222222,431.84,0.3126767294595563,2025-02-10/2025-02-16,2025-02-10
PRT9900015452-M,2025-02-11,14,VI13LP6M,VICTORIA,KR81115,LATA 1/3 SR.,VICTORIA 1/3 LATA PACK CERRADO 6U.,VICTORIA,1/3,P6,KR81115,VICTORIA|1/3|P6|KR81115,0.0044444444444444444,0.76,0.8125,2025-02-10/2025-02-16,2025-02-10
PRT9900015454-M,2025-02-11,14,VI13LP6M,VICTORIA,KR81115,LATA 1/3 SR.,VICTORIA 1/3 LATA PACK CERRADO 6U.,VICTORIA,1/3,P6,KR81115,VICTORIA|1/3|P6|KR81115,6.054722222222222,620.75,0.5741758241758242,2025-02-10/2025-02-16,2025-02-10
0000538464-1,2025-02-12,14,3BNZFLB1,LA FRÍA,KR6BNZF1,LATA 1/3 SR.,"BEER LA FRIA 4,5º 33CL L B24SH P X",LA FRÍA,1/3,P24,KR6BNZF1,LA FRÍA|1/3|P24|KR6BNZF1,9.636111111111111,492.12,0.2579873125720877,2025-02-10/2025-02-16,2025-02-10
PRT9900015460-M,2025-02-12,14,EX13LP6S,ESTRELLA DAMM,KR02321,LATA 1/3 SR.,"ESTRELLA DAMM BCN 4,6 LATA1/3 CJ4 P6U.UK",ESTRELLA DAMM,1/3,P6,KR02321,ESTRELLA DAMM|1/3|P6|KR02321,9.387777777777778,352.63,0.189741920208358,2025-02-10/2025-02-16,2025-02-10
0000536815-1,2025-02-15,14,VI13L6AU,VICTORIA,KR81114,LATA 1/3 SR.,VICTORIA 1/3 LATA CJ-4 PACK C.6U AUSP.HT,VICTORIA,1/3,PACK,KR81114,VICTORIA|1/3|PACK|KR81114,0.008055555555555555,0.82,0.4827586206896551,2025-02-10/2025-02-16,2025-02-10
PRT9900015463-M,2025-02-15,14,3BNZFLB1,LA FRÍA,KR6BNZF1,LATA 1/3 SR.,"BEER LA FRIA 4,5º 33CL L B24SH P X",LA FRÍA,1/3,P24,KR6BNZF1,LA FRÍA|1/3|P24|KR6BNZF1,66.66666666666667,7618.84,0.5772242200489202,2025-02-10/2025-02-16,2025-02-10
PRT9900015472-M,2025-02-15,14,VO13LTP6,VOLL DAMM,KR00525,LATA 1/3 SR.,VOLL DAMM 1/3 LATA PACK C. 6U.,VOLL DAMM,1/3,P6,KR00525,VOLL DAMM|1/3|P6|KR00525,5.641388888888889,234.89,0.24218705688843514,2025-02-10/2025-02-16,2025-02-10
0000541573-1,2025-02-17,14,VO13LTP6,VOLL DAMM,KR00525,LATA 1/3 SR.,VOLL DAMM 1/3 LATA PACK C. 6U.,VOLL DAMM,1/3,P6,KR00525,VOLL DAMM|1/3|P6|KR00525,6.962777777777778,508.55,0.3688661932498205,2025-02-17/2025-02-23,2025-02-17
0000541570-1,2025-02-18,14,SK1312MN,SKOL,KR80115,LATA 1/3 SR.,SKOL 1/3 LATA RETRACTIL 12U.,SKOL,1/3,RETR,KR80115,SKOL|1/3|RETR|KR80115,1.475,141.45,0.484180790960452,2025-02-17/2025-02-23,2025-02-17
0000541571-1,2025-02-18,14,SK13L12,SKOL,KR80115,LATA 1/3 SR.,SKOL 1/3 LATA RETRACTIL 12U.,SKOL,1/3,RETR,KR80115,SKOL|1/3|RETR|KR80115,2.587222222222222,123.12,0.24028344427743184,2025-02-17/2025-02-23,2025-02-17
0000541572-1,2025-02-18,14,VO13L6M1,VOLL DAMM,KR00525,LATA 1/3 SR.,VOLL DAMM 1/3 LATA PACK C. 6U.,VOLL DAMM,1/3,P6,KR00525,VOLL DAMM|1/3|P6|KR00525,11.475555555555555,1284.98,0.5656626797733765,2025-02-17/2025-02-23,2025-02-17
0000541563-1,2025-02-19,14,3BNEBL23,EMD BRAU,KR6BNEB9,LATA 1/3 SR.,"BEER EMD BRAU 4,5º 33CL L P12 P",EMD BRAU,1/3,P12,KR6BNEB9,EMD BRAU|1/3|P12|KR6BNEB9,19.628055555555555,1941.58,0.49958251369213574,2025-02-17/2025-02-23,2025-02-17
0000532414-1,2025-02-21,14,VO13LTMN,VOLL DAMM,KR00525,LATA 1/3 SR.,VOLL DAMM 1/3 LATA LC,VOLL DAMM,1/3,UNI,KR00525,VOLL DAMM|1/3|UNI|KR00525,2.5694444444444446,235.51,0.4628108108108108,2025-02-17/2025-02-23,2025-02-17
0000541564-1,2025-02-21,14,3BNZFLB1,LA FRÍA,KR6BNZF1,LATA 1/3 SR.,"BEER LA FRIA 4,5º 33CL L B24SH P X",LA FRÍA,1/3,P24,KR6BNZF1,LA FRÍA|1/3|P24|KR6BNZF1,51.66583333333333,5582.13,0.5456935625225147,2025-02-17/2025-02-23,2025-02-17
0000541567-1,2025-02-21,14,ED13LCMW,ESTRELLA DAMM,KR00440,LATA 1/3 SR.,ESTRELLA DAMM 1/3 LATA,ESTRELLA DAMM,1/3,UNI,KR00440,ESTRELLA DAMM|1/3|UNI|KR00440,4.173055555555556,364.46,0.44105704586301003,2025-02-17/2025-02-23,2025-02-17
0000541569-1,2025-02-21,14,EX13LBUK,ESTRELLA DAMM,KR02332,LATA 1/3 SR.,"ESTRELLA DAMM BCN 4,6 1/3 LATA BANDEJA24",ESTRELLA DAMM,1/3,P24,KR02332,ESTRELLA DAMM|1/3|P24|KR02332,4.936944444444444,411.66,0.4210881674450008,2025-02-17/2025-02-23,2025-02-17
0000541566-1,2025-02-22,14,ED13LCMM,ESTRELLA DAMM,KR00440,LATA 1/3 SR.,ESTRELLA DAMM 1/3 LATA,ESTRELLA DAMM,1/3,UNI,KR00440,ESTRELLA DAMM|1/3|UNI|KR00440,7.161111111111111,812.09,0.5727307990690458,2025-02-17/2025-02-23,2025-02-17
0000541568-1,2025-02-22,14,ED13LTMW,ESTRELLA DAMM,KR00441,LATA 1/3 SR.,ESTRELLA DAMM 1/3 LATA,ESTRELLA DAMM,1/3,UNI,KR00441,ESTRELLA DAMM|1/3|UNI|KR00441,11.811111111111112,908.81,0.3885936030103481,2025-02-17/2025-02-23,2025-02-17
0000543949-1,2025-02-25,14,3BNZFLB1,LA FRÍA,KR6BNZF1,LATA 1/3 SR.,"BEER LA FRIA 4,5º 33CL L B24SH P X",LA FRÍA,1/3,P24,KR6BNZF1,LA FRÍA|1/3|P24|KR6BNZF1,16.90361111111111,1698.05,0.5073373539513253,2025-02-24/2025-03-02,2025-02-24
PRT9900015515-M,2025-02-25,14,EX13LTP6,ESTRELLA DAMM,KR02335,LATA 1/3 SR.,"ESTRELLA DAMM BCN 4,6 LATA1/3 C-4 P6UPHT",ESTRELLA DAMM,1/3,P6,KR02335,ESTRELLA DAMM|1/3|P6|KR02335,12.257222222222222,382.31,0.15752617504419164,2025-02-24/2025-03-02,2025-02-24
PRT9900015516-M,2025-02-26,14,VO13LTMN,VOLL DAMM,KR00525,LATA 1/3 SR.,VOLL DAMM 1/3 LATA LC,VOLL DAMM,1/3,UNI,KR00525,VOLL DAMM|1/3|UNI|KR00525,5.6561111111111115,352.6,0.31480208231018564,2025-02-24/2025-03-02,2025-02-24
PRT9900015517-M,2025-02-26,14,3BNZFLB1,LA FRÍA,KR6BNZF1,LATA 1/3 SR.,"BEER LA FRIA 4,5º 33CL L B24SH P X",LA FRÍA,1/3,P24,KR6BNZF1,LA FRÍA|1/3|P24|KR6BNZF1,15.32611111111111,1324.15,0.43634683002863667,2025-02-24/2025-03-02,2025-02-24
PRT9900015523-M,2025-03-01,14,3BNZFLB1,LA FRÍA,KR6BNZF1,LATA 1/3 SR.,"BEER LA FRIA 4,5º 33CL L B24SH P X",LA FRÍA,1/3,P24,KR6BNZF1,LA FRÍA|1/3|P24|KR6BNZF1,76.99027777777778,7739.52,0.5077176195527461,2025-02-24/2025-03-02,2025-02-24
0000546673-1,2025-03-05,14,3BNZFLB1,LA FRÍA,KR6BNZF1,LATA 1/3 SR.,"BEER LA FRIA 4,5º 33CL L B24SH P X",LA FRÍA,1/3,P24,KR6BNZF1,LA FRÍA|1/3|P24|KR6BNZF1,40.27611111111111,4532.05,0.5689154014512866,2025-03-03/2025-03-09,2025-03-03
0000548854-1,2025-03-05,14,EXB13LTB,ESTRELLA DAMM,KR02610,LATA 1/3 SR.,"ESTRELLA DAMM BCN 5,4 1/3 LATA B-24U.USA",ESTRELLA DAMM,1/3,UNI,KR02610,ESTRELLA DAMM|1/3|UNI|KR02610,3.6030555555555557,235.33,0.32981265900855755,2025-03-03/2025-03-09,2025-03-03
PRT9900015545-M,2025-03-05,14,ENB13LB,ESTRELLA NON-ALCOHOLIC,KR02104,LATA 1/3 SR.,ESTRELLA N.A.1/3LATA FCB MALT BEV B24 LC,ESTRELLA NON-ALCOHOLIC,1/3,P24,KR02104,ESTRELLA NON-ALCOHOLIC|1/3|P24|KR02104,7.843333333333334,383.11,0.24667091656041934,2025-03-03/2025-03-09,2025-03-03
0000546682-1,2025-03-06,14,SK1312MN,SKOL,KR80115,LATA 1/3 SR.,SKOL 1/3 LATA RETRACTIL 12U.,SKOL,1/3,RETR,KR80115,SKOL|1/3|RETR|KR80115,3.22,177.35,0.2781228433402347,2025-03-03/2025-03-09,2025-03-03
0000546685-1,2025-03-06,14,VO13LTMN,VOLL DAMM,KR00525,LATA 1/3 SR.,VOLL DAMM 1/3 LATA LC,VOLL DAMM,1/3,UNI,KR00525,VOLL DAMM|1/3|UNI|KR00525,7.221111111111111,644.72,0.4511932255581216,2025-03-03/2025-03-09,2025-03-03
0000548853-1,2025-03-06,14,EX13LUKB,ESTRELLA DAMM,KR02336,LATA 1/3 SR.,"ESTRELLA DAMM BCN 4,6 1/3 LATA BANDEJA24",ESTRELLA DAMM,1/3,P24,KR02336,ESTRELLA DAMM|1/3|P24|KR02336,5.575833333333334,528.08,0.47830418970756733,2025-03-03/2025-03-09,2025-03-03
0000551203-1,2025-03-06,14,EX13LBLN,ESTRELLA DAMM,KR02320,LATA 1/3 SR.,"ESTRELLA DAMM BCN 5,4 1/3 LATA B-24U.USA",ESTRELLA DAMM,1/3,UNI,KR02320,ESTRELLA DAMM|1/3|UNI|KR02320,9.039166666666667,614.44,0.40337257167617535,2025-03-03/2025-03-09,2025-03-03
0000551204-1,2025-03-06,14,EX13LBUK,ESTRELLA DAMM,KR02332,LATA 1/3 SR.,"ESTRELLA DAMM BCN 4,6 1/3 LATA BANDEJA24",ESTRELLA DAMM,1/3,P24,KR02332,ESTRELLA DAMM|1/3|P24|KR02332,6.4591666666666665,411.39,0.3217466121746612,2025-03-03/2025-03-09,2025-03-03
0000546675-1,2025-03-07,14,ED13LCMW,ESTRELLA DAMM,KR00440,LATA 1/3 SR.,ESTRELLA DAMM 1/3 LATA,ESTRELLA DAMM,1/3,UNI,KR00440,ESTRELLA DAMM|1/3|UNI|KR00440,10.404722222222222,1093.57,0.5309070518811246,2025-03-03/2025-03-09,2025-03-03
0000546683-1,2025-03-07,14,SK13L12,SKOL,KR80115,LATA 1/3 SR.,SKOL 1/3 LATA RETRACTIL 12U.,SKOL,1/3,RETR,KR80115,SKOL|1/3|RETR|KR80115,3.6238888888888887,175.23,0.24440012273703587,2025-03-03/2025-03-09,2025-03-03
